id,title,agentic_decision,agentic_reason,agentic_meta_review,committee,local_verdicts,trust_snapshot,vote_margin
0804.2155,From Qualitative to Quantitative Proofs of Security Properties Using First-Order Conditional Logic,Good,"Committee=C,A,B | Weighted votes — Good: 1.94, Not-Good: 0.77. Highest-trust voter: A (trust=0.98); margin=0.43.","### Meta-Review

#### Summary
The paper introduces a first-order conditional logic with epsilon-semantics, providing a novel approach to quantitatively prove security properties. The authors offer a comprehensive axiomatization for this logic and demonstrate how qualitative proofs can be converted into quantitative proofs suitable for concrete security analysis.

#### Major Consensus
- **Novel Semantics**: The use of epsilon-semantics to define conditional probabilities that converge super-polynomially is a significant theoretical contribution.
- **Axiomatization**: The complete axiomatization ensures the logical system's robustness and theoretical soundness.

#### Key Disagreements
- **Practical Utility**: The review members agree that the paper lacks concrete examples and case studies to demonstrate the method's practical utility.
- **Complexity**: There is disagreement on whether the complexity introduced by super-polynomial convergence is manageable for practical applications. Some reviewers suggest simplifying the semantics or proposing an alternative that enhances accessibility.

#### Suggestions
1. **Include Practical Examples**: The paper should provide detailed examples of security protocols where the proposed method is applied, showcasing its practical utility.
2. **Simplify Semantics**: Consider simplifying the epsilon-semantics or proposing an alternative interpretation that retains the core concept but is more accessible and implementable.
3. **Explore Feasibility**: Further investigate the feasibility and efficiency of the conversion process from qualitative to quantitative proofs.

#### Final Recommendation
**Good**. The paper presents a valuable theoretical contribution with a solid foundation in axiomatic logic. However, it needs to bridge the gap between theory and practice through concrete examples and","['C', 'A', 'B']","{'C': 'Not-Good', 'A': 'Good', 'B': 'Good'}","{'C': 0.775, 'A': 0.985, 'B': 0.955}",0.429
0806.4686,Sparse Online Learning via Truncated Gradient,Good,"Committee=B,C,A | Weighted votes — Good: 2.70, Not-Good: 0.00. Highest-trust voter: B (trust=0.95); margin=1.00.","### Meta-Review

The paper introduces a novel method called ""truncated gradient"" for inducing sparsity in online learning algorithms with convex loss functions. It provides both theoretical motivation and empirical validation, highlighting the method's ability to achieve sparsity continuously through a parameter. The strengths include solid theoretical foundations and empirical success across various datasets, especially those with many features. However, the paper lacks a comparative analysis with other sparsity-inducing methods and does not explore the method's applicability to non-convex loss functions, limiting its broader relevance and robustness.

### Major Consensus
- **Strengths**: Solid theoretical foundations and empirical validation.
- **Weaknesses**: Lack of comparative analysis and limited scope to non-convex loss functions.

### Key Disagreements
- **Comparative Analysis**: Some reviewers suggest conducting a comparative study with other sparsity-inducing methods to better highlight the method's advantages.
- **Non-Convex Loss Functions**: There is disagreement on whether the method should be extended to non-convex loss functions, though this is seen as valuable for broader applicability.

### Suggestions
1. **Comparative Study**: Conduct a comparative study with existing sparsity-inducing methods to evaluate the proposed method's performance.
2. **Extension to Non-Convex Loss Functions**: Explore the method's applicability to non-convex loss functions to broaden its scope and potential impact.

### Final Recommendation
**Good**. The paper demonstrates promising results and provides a solid theoretical foundation. Enhancing the comparative analysis and extending the method to non-convex loss functions","['B', 'C', 'A']","{'B': 'Good', 'C': 'Good', 'A': 'Good'}","{'B': 0.954, 'C': 0.797, 'A': 0.945}",1.0
0807.1997,Multi-instance learning by treating instances as non-I.I.D. samples,Not-Good,"Committee=C,B,A | Weighted votes — Good: 0.81, Not-Good: 1.45. Highest-trust voter: C (trust=0.81); margin=0.28.","### Meta-Review

The paper introduces a novel approach to Multi-Instance Learning (MIL) by treating instances within bags as non-i.i.d. samples, proposing a method that models each bag as a graph and uses a specific kernel to differentiate between these graphs based on both node and edge features. The authors validate their approach through experiments, highlighting the innovative approach and simplicity of the proposed method.

**Strengths:**
- **Innovative Approach**: The paper presents a fresh perspective on MIL by addressing the limitations of traditional i.i.d. assumptions.
- **Simplicity and Effectiveness**: Despite its simplicity, the proposed method shows promising results, making it potentially more practical for real-world applications.

**Weaknesses:**
- **Limited Experiments**: The validation of the proposed method is somewhat limited, with only a few experiments conducted. More comprehensive testing would strengthen the findings.
- **Lack of Comparative Analysis**: The paper does not compare the proposed method against other state-of-the-art MIL techniques, which could provide a clearer understanding of its relative performance.

**Suggestions:**
1. **Enhance Experimental Validation**: Conduct more extensive experiments with diverse datasets to validate the method's robustness and generalizability.
2. **Include Comparative Analysis**: Compare the proposed method with existing state-of-the-art MIL techniques to provide a clearer evaluation of its performance.

**Consensus and Key Disagreement:**
The reviewers largely agree on the strengths and weaknesses of the paper. There is a consensus that the innovative approach and simplicity of the method are significant advantages. However, there is disagreement on","['C', 'B', 'A']","{'C': 'Good', 'B': 'Not-Good', 'A': 'Not-Good'}","{'C': 0.813, 'B': 0.727, 'A': 0.721}",0.281
0810.5631,Temporal Difference Updating without a Learning Rate,Good,"Committee=C,A,B | Weighted votes — Good: 1.55, Not-Good: 0.66. Highest-trust voter: A (trust=0.79); margin=0.40.","### Meta-Review

The paper introduces a novel approach to temporal difference (TD) learning that eliminates the need for a learning rate parameter, a key component in TD(lambda) algorithms. The authors derive an equation grounded in statistical principles, specifically using the variational principle and bootstrapping to create an updating rule for discounted state value estimates. They compare their method favorably against TD(lambda) in several experimental setups, finding superior performance across various settings. Additionally, the paper explores potential extensions to reinforcement learning.

#### Strengths
- **Novel Approach**: The paper presents a unique method for TD learning that does not require a learning rate, providing a fresh perspective on the field.
- **Empirical Validation**: The authors demonstrate superior performance of their method compared to TD(lambda) through various experimental settings.

#### Weaknesses
- **Theoretical Rigor**: While the empirical results are promising, the underlying theoretical reasons for the method’s effectiveness are not thoroughly explored, suggesting areas for further research.
- **Generalizability**: The experiments are conducted in specific settings, and the generalizability of the findings to broader scenarios is not thoroughly explored.

#### Suggestions
1. **Theoretical Justification**: Provide a more detailed discussion on the theoretical basis behind the new method’s effectiveness.
2. **Broader Validation**: Conduct additional experiments across diverse tasks and environments to validate the method’s generalizability.

### Final Recommendation
**Good**","['C', 'A', 'B']","{'C': 'Not-Good', 'A': 'Good', 'B': 'Good'}","{'C': 0.659, 'A': 0.79, 'B': 0.764}",0.404
0902.2206,Feature hashing for large scale multitask learning,Good,"Committee=C,A,B | Weighted votes — Good: 1.55, Not-Good: 0.59. Highest-trust voter: A (trust=0.84); margin=0.45.","### Summary
This paper investigates the application of feature hashing for dimensionality reduction and multitask learning, providing exponential tail bounds for theoretical guarantees and validating its practicality with experiments involving hundreds of thousands of tasks. The authors establish robust theoretical foundations and demonstrate the method's effectiveness in a novel use case.

### Strengths
- **Theoretical Contribution**: Rigorous theoretical analysis with exponential tail bounds offers strong performance guarantees.
- **Practical Feasibility**: Successfully applied to multitask learning, showcasing the method’s practical utility.

### Weaknesses
- **Limited Experimental Details**: Insufficient details about datasets and experimental parameters hinder reproducibility.
- **Narrow Scope**: Focus on a small number of tasks (hundreds of thousands) may limit broad applicability.

### Suggestions
1. **Detailed Experimental Setup**: Provide more detailed information about the datasets and hashing method parameters to enhance reproducibility.
2. **Broader Comparative Analysis**: Conduct comparative studies with other dimensionality reduction techniques and multitask learning algorithms to broaden the evaluation scope.

### Final Recommendation
**Good**. The paper makes valuable contributions with theoretical guarantees and practical validation, but further work on reproducibility and broader applicability is needed.","['C', 'A', 'B']","{'C': 'Good', 'A': 'Good', 'B': 'Not-Good'}","{'C': 0.716, 'A': 0.838, 'B': 0.595}",0.446
0904.2623,Exponential Family Graph Matching and Ranking,Not-Good,"Committee=A,C,B | Weighted votes — Good: 0.00, Not-Good: 1.71. Highest-trust voter: A (trust=0.65); margin=1.00.","### Meta-Review

The paper presents a novel approach for learning to rank using maximum a posteriori estimation within exponential families, applicable to various bipartite graph problems beyond traditional ranking tasks. It demonstrates the method's effectiveness on a standard web page ranking dataset, achieving state-of-the-art results. 

**Strengths:**
- **Simplicity and Efficiency**: The proposed method is described as simple and efficient, making it practical and accessible.
- **Versatility**: The technique is noted for its broad applicability beyond ranking problems, suggesting potential for diverse use cases.

**Weaknesses:**
- **Lack of Comparative Analysis**: The paper lacks a thorough comparison with existing ranking methods, which is crucial for establishing the superiority of the proposed method.
- **Insufficient Explanation of Sufficient Statistics**: While the use of exponential families and suitable sufficient statistics is mentioned, there is no explicit discussion on how these choices affect the model’s performance or why they are effective.
- **Limited Experimental Details**: The experimental setup is underdescribed, including specifics about the datasets used and the evaluation metrics.

**Suggestions:**
1. **Include Comparative Analysis**: Conduct a comparative study with other state-of-the-art ranking algorithms to demonstrate the proposed method’s benefits and unique features.
2. **Provide Detailed Explanation of Sufficient Statistics**: Include detailed discussions on how the choice of exponential families and sufficient statistics impacts model performance and why they are effective.
3. **Detail Experimental Setup**: Provide more detailed information about the experimental setup, including the specific datasets used, evaluation metrics, and any preprocessing steps.

Overall, while the","['A', 'C', 'B']","{'A': 'Not-Good', 'C': 'Not-Good', 'B': 'Not-Good'}","{'A': 0.647, 'C': 0.592, 'B': 0.476}",1.0
0911.0460,Feature-Weighted Linear Stacking,Not-Good,"Committee=C,B,A | Weighted votes — Good: 0.67, Not-Good: 0.95. Highest-trust voter: C (trust=0.67); margin=0.17.","**Meta-Review:**

The paper introduces Feature-Weighted Linear Stacking (FWLS), an innovative method that enhances ensemble methods by incorporating meta-features into a linear stacking framework. The authors demonstrate significant improvements in predictive accuracy over standard linear stacking techniques, particularly on the Netflix Prize collaborative filtering dataset. The method retains the advantages of linear regression, such as speed, stability, and interpretability, while leveraging meta-features to boost performance.

**Strengths:**
- Enhanced Performance: The paper shows substantial improvements in accuracy compared to traditional linear stacking methods.
- Versatility: FWLS retains the benefits of linear regression while incorporating meta-features, making it a versatile approach.

**Weaknesses:**
- Meta-Features Complexity: The effectiveness of FWLS is highly dependent on the quality and relevance of meta-features, which may not always be readily available or easily generated.
- Tuning Challenges: While FWLS maintains interpretability and speed, determining optimal weights for meta-features may still require some form of tuning, although this is less complex than with nonlinear approaches.

**Suggestions:**
1. **Meta-Feature Selection**: Provide more guidance on selecting and preprocessing meta-features. A detailed section on feature engineering could help other researchers apply FWLS more effectively.
2. **Comparative Analysis**: Include a comparative analysis with other linear stacking methods to validate the superiority of FWLS.
3. **Coefficient Calculation Methods**: Offer more explicit guidance on how to compute the coefficients used in FWLS, including potential pitfalls and common errors.

**Consensus and Key Disagreements:**
Major consensus","['C', 'B', 'A']","{'C': 'Good', 'B': 'Not-Good', 'A': 'Not-Good'}","{'C': 0.669, 'B': 0.409, 'A': 0.543}",0.174
0911.1965,Active Learning for Mention Detection: A Comparison of Sentence Selection Strategies,Good,"Committee=C,A,B | Weighted votes — Good: 1.99, Not-Good: 0.00. Highest-trust voter: C (trust=0.75); margin=1.00.","### Meta-Review

This paper evaluates various sentence selection strategies for active learning in mention detection tasks, proposing a novel approach that combines the sum of confidences from two classifiers trained on different data views. The study demonstrates significant reductions in labeled data requirements, particularly for named mentions. The authors provide robust empirical validation through detailed experiments.

**Major Consensus:**
- The paper introduces a novel and effective approach for active learning in mention detection.
- The empirical evidence supports the proposed method's superiority over random selection strategies.
- The experimental results show substantial improvements in efficiency.

**Key Disagreements:**
- **Comparative Analysis:** There is a consensus that a more comprehensive comparative analysis with other state-of-the-art active learning techniques would strengthen the paper. Some reviewers suggest expanding the comparative study to include a wider range of methods.
- **Data Views:** While the use of two data views is noted as a limitation, there is disagreement on whether this is a significant issue. Some reviewers argue that expanding to more diverse data views would enhance robustness, while others believe the current approach is sufficient given the scope of the study.

### Suggestions
1. **Comprehensive Comparative Study:** Conduct a detailed comparative analysis with other active learning techniques to establish the proposed method's superiority.
2. **Expanding Data Views:** Consider expanding the study to include more diverse data views to broaden the findings' generalizability.

### Final Recommendation
**Good.**","['C', 'A', 'B']","{'C': 'Good', 'A': 'Good', 'B': 'Good'}","{'C': 0.753, 'A': 0.665, 'B': 0.571}",1.0
0911.3708,Manipulability of Single Transferable Vote,Good,"Committee=B,C,A | Weighted votes — Good: 1.53, Not-Good: 0.47. Highest-trust voter: C (trust=0.81); margin=0.53.","### Meta-Review

The paper examines the manipulability of the Single Transferable Vote (STV) voting rule, presenting empirical evidence that manipulation may be easier in practice than previously believed. The authors leverage this empirical evidence to highlight the relative simplicity of STV in terms of manipulation compared to other voting systems, despite its computational complexity.

**Major Consensus:**
- The paper offers robust empirical evidence supporting the ease of manipulating STV elections.
- The study contrasts STV with other complex voting systems, underscoring its unique characteristics that facilitate manipulation.

**Key Disagreements:**
- **Theoretical Justification:** There is a consensus that a more detailed theoretical explanation is needed to bridge the gap between the empirical findings and theoretical predictions.
- **Scope Limitation:** The study focuses primarily on single-agent manipulation, limiting the comprehensiveness of the findings. Expanding the scope to include coalition manipulation is recommended.

**Suggestions:**
1. **Incorporate Theoretical Justification:** Discuss how the empirical findings align with theoretical predictions, providing a deeper understanding of why STV is more manipulable.
2. **Expand Scope:** Include analysis on coalition manipulation to offer a more comprehensive view of practical implications.

**Final Recommendation:**
Good.","['B', 'C', 'A']","{'B': 'Not-Good', 'C': 'Good', 'A': 'Good'}","{'B': 0.475, 'C': 0.812, 'A': 0.72}",0.527
0911.5043,A Semantic Similarity Measure for Expressive Description Logics,Not-Good,"Committee=C,A,B | Weighted votes — Good: 0.00, Not-Good: 1.60. Highest-trust voter: C (trust=0.64); margin=1.00.","### Meta-Review

The paper introduces a novel semantic similarity measure for expressive Description Logics (DLs), capable of comparing concept descriptions, concept descriptions with individuals, and individuals themselves. The measure is noted for its applicability to symbolic descriptions and employs a numeric approach for calculations. Given the significance of DLs in ontology representation and reasoning, the proposed measure is suggested for use in clustering tasks within the semantic web domain.

#### Major Consensus
- The paper presents a novel semantic similarity measure tailored for expressive DLs, highlighting its versatility and applicability.
- The measure's numeric approach and ability to handle various types of comparisons are seen as strengths.

#### Key Disagreements
- **Comparative Analysis**: There is a consensus that a comparative study with existing methods is necessary to establish the measure's superiority. However, some reviewers (A and B) emphasize the importance of this aspect more strongly.
- **Experimental Validation**: While most reviewers agree on the need for empirical validation, there is a difference in emphasis. Some (B and C) stress the necessity of robust experimental results more than others (A).

#### Recommendations
1. **Comparative Study**: Include a comparative analysis with other established semantic similarity measures to highlight the advantages of the proposed measure.
2. **Empirical Validation**: Provide robust experimental validation to substantiate the measure’s effectiveness and accuracy.

#### Final Recommendation
**Not-Good**. The paper introduces a novel semantic similarity measure but lacks a comprehensive comparative analysis and robust experimental validation, which are critical for establishing its superiority and practical utility.","['C', 'A', 'B']","{'C': 'Not-Good', 'A': 'Not-Good', 'B': 'Not-Good'}","{'C': 0.644, 'A': 0.564, 'B': 0.392}",1.0
